level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	835	1150	-1	
2	1	1	0	0	0	61	17	425	152	-1	
3	1	1	1	0	0	61	17	425	152	-1	
4	1	1	1	1	0	61	17	425	152	-1	
5	1	1	1	1	1	61	17	39	151	0.000000	'
5	1	1	1	1	2	128	83	358	86	96.256943	Invoice
2	1	2	0	0	0	59	189	487	12	-1	
3	1	2	1	0	0	59	189	487	12	-1	
4	1	2	1	1	0	59	189	487	12	-1	
5	1	2	1	1	1	59	190	29	9	84.963669	Your
5	1	2	1	1	2	91	190	58	11	96.548065	Company
5	1	2	1	1	3	153	190	19	9	92.796188	LLC
5	1	2	1	1	4	175	189	48	10	92.746323	Address
5	1	2	1	1	5	227	190	25	11	93.796524	123,
5	1	2	1	1	6	256	190	33	11	96.845741	State,
5	1	2	1	1	7	295	190	18	11	96.906387	My
5	1	2	1	1	8	317	190	47	11	93.305595	Country
5	1	2	1	1	9	368	190	6	9	83.431442	P
5	1	2	1	1	10	379	190	78	11	83.431442	111-222-333,
5	1	2	1	1	11	462	190	5	9	72.671013	F
5	1	2	1	1	12	472	190	74	9	72.671013	111-222-334
2	1	3	0	0	0	59	315	187	89	-1	
3	1	3	1	0	0	59	315	55	28	-1	
4	1	3	1	1	0	60	315	47	9	-1	
5	1	3	1	1	1	60	315	24	9	44.539276	BILL
5	1	3	1	1	2	87	315	20	9	44.539276	TO:
4	1	3	1	2	0	59	333	55	10	-1	
5	1	3	1	2	1	59	333	27	10	95.957382	John
5	1	3	1	2	2	91	334	23	9	94.684158	Doe
3	1	3	2	0	0	59	352	123	13	-1	
4	1	3	2	1	0	59	352	123	13	-1	
5	1	3	2	1	1	59	352	33	13	71.710815	Alpha
5	1	3	2	1	2	98	353	33	9	94.557159	Bravo
5	1	3	2	1	3	135	352	29	10	89.996490	Road
5	1	3	2	1	4	169	353	13	9	96.425095	33
3	1	3	3	0	0	60	373	186	31	-1	
4	1	3	3	1	0	60	373	186	11	-1	
5	1	3	3	1	1	60	373	10	9	75.896027	P:
5	1	3	3	1	2	75	373	78	11	75.896027	111-222-338,
5	1	3	3	1	3	158	373	5	9	90.029243	F:
5	1	3	3	1	4	172	373	74	9	80.336151	111-222-334
4	1	3	3	2	0	60	391	119	13	-1	
